Known Password Attack Log
Target: 127.0.0.1:8081
[2025-07-28 09:58:37] Attempt #22: john.smith:TECHCORP85 - FAILED (Pattern: BirthYear(short)) (Response: 0.004s)
[2025-07-28 09:58:38] Attempt #23: john.smith:john123! - FAILED (Pattern: Special + CommonNumbers) (Response: 0.004s)
[2025-07-28 09:58:39] Attempt #24: john.smith:567John - FAILED (Pattern: FirstName) (Response: 0.002s)
[2025-07-28 09:58:40] Attempt #25: john.smith:1john - FAILED (Pattern: Unknown) (Response: 0.003s)
[2025-07-28 09:58:41] Attempt #26: john.smith:123john - FAILED (Pattern: CommonNumbers) (Response: 0.002s)
[2025-07-28 09:58:42] Attempt #27: john.smith:John*85 - FAILED (Pattern: FirstName + BirthYear(short) + Special) (Response: 0.003s)
[2025-07-28 09:58:42] Attempt #28: john.smith:67john - FAILED (Pattern: Unknown) (Response: 0.003s)
[2025-07-28 09:58:43] Attempt #29: john.smith:John85! - FAILED (Pattern: FirstName + BirthYear(short) + Special) (Response: 0.003s)
[2025-07-28 09:58:44] Attempt #30: john.smith:John6789 - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-28 09:58:46] Attempt #31: john.smith:JOHN@ - FAILED (Pattern: Special) (Response: 0.003s)
[2025-07-28 09:58:47] Attempt #32: john.smith:JOHN$ - FAILED (Pattern: Special) (Response: 0.003s)
[2025-07-28 09:58:49] Attempt #33: john.smith:John85# - FAILED (Pattern: FirstName + BirthYear(short) + Special) (Response: 0.003s)
[2025-07-28 09:58:50] Attempt #34: john.smith:Techcorp85 - FAILED (Pattern: BirthYear(short) + Company) (Response: 0.003s)
[2025-07-28 09:58:51] Attempt #35: john.smith:johnjohn85 - FAILED (Pattern: BirthYear(short)) (Response: 0.004s)
[2025-07-28 09:58:51] Attempt #36: john.smith:1985John - FAILED (Pattern: FirstName + BirthYear) (Response: 0.004s)
[2025-07-28 09:58:52] Attempt #37: john.smith:7890John - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 09:58:54] Attempt #38: john.smith:johntechcorp - FAILED (Pattern: Unknown) (Response: 0.004s)
[2025-07-28 09:58:56] Attempt #39: john.smith:John1985! - SUCCESS (Pattern: FirstName + BirthYear + Special) (Response: 0.004s)
